id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
121774,control 25C,0,1.24,0,0,0,4,2,2,0,0,0,1.24,1.24,2,2,4,4,0,0,0,0,4,2,2,4,0,0,"DCR5074 25C, animal 9.oir",25°C,control
141740,control 25C,0.27,5.23,1,2,0,10,3,0,0,0,0.135,2.615,2.75,2.5,0,2.5,5.5,0.5,1,0,1,5,1.5,0,1.5,0,0,"DCR5074 25C, animal 3.oir",25°C,control
187215,control 25C,0.09,3.59,1,1,0,12,7,5,0,0,0.045,1.795,1.84,4,2.5,6.5,6.5,0.5,0.5,0,0.5,6,3.5,2.5,6,0,0,"DCR5074 25C, animal 16.oir",25°C,control
220651,control 25C,0,2.59,0,0,0,7,3,4,0,0,0,1.295,1.295,1.5,2,3.5,3.5,0,0,0,0,3.5,1.5,2,3.5,0,0,"DCR5074 25C,  animal 22.oir",25°C,control
229565,control 25C,0,3.35,0,0,0,9,3,6,0,0,0,1.675,1.675,1.5,3,4.5,4.5,0,0,0,0,4.5,1.5,3,4.5,0,0,"DCR5074 25C, animal 13.oir",25°C,control
261562,control 25C,0.05,3.47,1,0,1,14,8,6,0,0,0.025,1.735,1.76,4,3.5,7.5,7.5,0.5,0,0.5,0.5,7,4,3,7,0,0,"DCR5074 25C, animal 8.oir",25°C,control
278600,control 25C,0.04,3.17,1,1,0,7,4,3,1,0,0.02,1.585,1.605,2.5,1.5,4,4,0.5,0.5,0,0.5,3.5,2,1.5,3.5,0.5,0,"DCR5074 25C, animal 29.oir",25°C,control
290560,control 25C,0,1.79,0,0,0,9,5,4,0,,0,0.895,0.895,2.5,2,4.5,4.5,0,0,0,0,4.5,2.5,2,4.5,0,0,"DCR5074 25C, animal 32.oir",25°C,control
327587,control 25C,0.08,3.34,1,1,0,14,10,4,0,0,0.04,1.67,1.71,5.5,2,7.5,7.5,0.5,0.5,0,0.5,7,5,2,7,0,0,"DCR5074 25C, animal 15.oir",25°C,control
391417,control 25C,0,0.94,0,0,0,3,1,2,0,0,0,0.47,0.47,0.5,1,1.5,1.5,0,0,0,0,1.5,0.5,1,1.5,0,0,"DCR5074 25C, animal 10.oir",25°C,control
406796,control 25C,0.1,3.39,1,1,0,9,6,3,0,0,0.05,1.695,1.745,3.5,1.5,5,5,0.5,0.5,0,0.5,4.5,3,1.5,4.5,0,0,"DCR5074 25C, animal 26.oir",25°C,control
429513,control 25C,0,2.66,0,0,0,10,7,3,0,0,0,1.33,1.33,3.5,1.5,5,5,0,0,0,0,5,3.5,1.5,5,0,0,"DCR5074 25C, animal 18.oir",25°C,control
432291,control 25C,0,4.33,0,0,0,19,11,8,0,0,0,2.165,2.165,5.5,4,9.5,9.5,0,0,0,0,9.5,5.5,4,9.5,0,0,"DCR5074 25C, animal 14.oir",25°C,control
438700,control 25C,0,4.58,0,0,0,8,2,6,0,0,0,2.29,2.29,1,3,4,4,0,0,0,0,4,1,3,4,0,0,"DCR5074 25C, animal 24.oir",25°C,control
464630,control 25C,0.29,4.16,2,1,1,10,2,7,0,0,0.145,2.08,2.225,1.5,4,5.5,6,1,0.5,0.5,1,5,1,3.5,4.5,0,0,"DCR5074 25C, animal 21.oir",25°C,control
630251,control 25C,0,1.21,0,0,0,5,5,0,0,0,0,0.605,0.605,2.5,0,2.5,2.5,0,0,0,0,2.5,2.5,0,2.5,0,0,"DCR5074 25C, animal 6.oir",25°C,control
712283,control 25C,0,2.58,0,0,0,8,3,5,0,0,0,1.29,1.29,1.5,2.5,4,4,0,0,0,0,4,1.5,2.5,4,0,0,"DCR5074 25C, animal 19.oir",25°C,control
712464,control 25C,0,3.09,0,0,0,11,9,2,0,0,0,1.545,1.545,4.5,1,5.5,5.5,0,0,0,0,5.5,4.5,1,5.5,0,0,"DCR5074 25C, animal 31.oir",25°C,control
719974,control 25C,0,2.31,0,0,0,10,6,4,0,0,0,1.155,1.155,3,2,5,5,0,0,0,0,5,3,2,5,0,0,"DCR5074 25C, animal 33.oir",25°C,control
723786,control 25C,0,5.58,0,0,0,13,10,3,1,0,0,2.79,2.79,5,1.5,6.5,6.5,0,0,0,0,6.5,5,1.5,6.5,0.5,0,"DCR5074 25C, animal 27.oir",25°C,control
724352,control 25C,0,3.46,0,0,0,12,9,3,0,0,0,1.73,1.73,4.5,1.5,6,6,0,0,0,0,6,4.5,1.5,6,0,0,"DCR5074 25C, animal 30.oir",25°C,control
754193,control 25C,0,1.25,0,0,0,7,9,0,1,0,0,0.625,0.625,4.5,0,4.5,3.5,0,0,0,0,3.5,4.5,0,4.5,0.5,0,"DCR5074 25C, animal 11.oir",25°C,control
760944,control 25C,0,1.35,0,0,0,8,6,2,0,0,0,0.675,0.675,3,1,4,4,0,0,0,0,4,3,1,4,0,0,"DCR5074 25C, animal 5.oir",25°C,control
781080,control 25C,0,2.09,0,0,0,6,5,1,0,0,0,2.09,2.09,5,1,6,6,0,0,0,0,6,5,1,6,0,0,"DCR5074 25C, animal 7.oir",25°C,control
860713,control 25C,0.04,3.86,1,1,0,6,6,1,0,0,0.02,1.93,1.95,3.5,0.5,4,3.5,0.5,0.5,0,0.5,3,3,0.5,3.5,0,0,"DCR5074 25C, animal 28.oir",25°C,control
966953,control 25C,0.08,3.01,1,1,0,17,17,0,0,0,0.04,1.505,1.545,9,0,9,9,0.5,0.5,0,0.5,8.5,8.5,0,8.5,0,0,"DCR5074 25C, animal 12.oir",25°C,control
