id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
120927,control 20C,0.02,3.05,1,0,1,5,2,3,0,0,0.02,3.05,3.07,2,4,6,6,1,0,1,1,5,2,3,5,0,0,"DCR5074 20C, animal 50.oir",20°C,control
124587,control 20C,0,1.35,0,0,0,6,4,2,0,0,0,1.35,1.35,4,2,6,6,0,0,0,0,6,4,2,6,0,0,"DCR5074 20C, animal 48.oir",20°C,control
166816,control 20C,0,2.9,0,0,0,7,2,4,0,0,0,1.45,1.45,1,2,3,3.5,0,0,0,0,3.5,1,2,3,0,0,"DCR5074 20C, animal 51.oir",20°C,control
182943,control 20C,0,0.62,0,0,0,2,0,2,0,0,0,0.62,0.62,0,2,2,2,0,0,0,0,2,0,2,2,0,0,"DCR5074 20C, animal 6.oir",20°C,control
224261,control 20C,0,2.86,0,0,0,12,4,8,0,0,0,1.43,1.43,2,4,6,6,0,0,0,0,6,2,4,6,0,0,"DCR5074 20C, animal 40.oir",20°C,control
225812,control 20C,0,0.39,0,0,0,9,8,1,0,0,0,0.195,0.195,4,0.5,4.5,4.5,0,0,0,0,4.5,4,0.5,4.5,0,0,"DCR5074 20C, animal 54.oir",20°C,control
282833,control 20C,0,6.03,0,0,0,11,5,6,0,1,0,3.015,3.015,2.5,3,5.5,5.5,0,0,0,0,5.5,2.5,3,5.5,0,0.5,"DCR5074 20C, animal 36.oir",20°C,control
286617,control 20C,0,4.69,0,0,0,12,10,3,0,0,0,2.345,2.345,5,1.5,6.5,6,0,0,0,0,6,5,1.5,6.5,0,0,"DCR5074 20C, animal 37.oir",20°C,control
313238,control 20C,0,3.55,0,0,0,8,2,7,0,1,0,1.775,1.775,1,3.5,4.5,4,0,0,0,0,4,1,3.5,4.5,0,0.5,"DCR5074 20C, animal 1.oir",20°C,control
325940,control 20C,0,1.17,0,0,0,7,5,2,0,0,0,1.17,1.17,5,2,7,7,0,0,0,0,7,5,2,7,0,0,"DCR5074 20C, animal 52.oir",20°C,control
403543,control 20C,0,1.81,0,0,0,7,4,3,0,0,0,1.81,1.81,4,3,7,7,0,0,0,0,7,4,3,7,0,0,"DCR5074 20C, animal 27.oir",20°C,control
419937,control 20C,0,2.51,0,0,0,7,0,7,0,0,0,2.51,2.51,0,7,7,7,0,0,0,0,7,0,7,7,0,0,"DCR5074 20C, animal 43.oir",20°C,control
528535,control 20C,0,3.02,0,0,0,8,5,3,0,0,0,1.51,1.51,2.5,1.5,4,4,0,0,0,0,4,2.5,1.5,4,0,0,"DCR5074 20C, animal 33.oir",20°C,control
548815,control 20C,0,1.79,0,0,0,8,6,4,0,0,0,1.79,1.79,6,4,10,8,0,0,0,0,8,6,4,10,0,0,"DCR5074 20C, animal 53.oir",20°C,control
629208,control 20C,0,7.74,0,0,0,19,18,1,0,0,0,3.87,3.87,9,0.5,9.5,9.5,0,0,0,0,9.5,9,0.5,9.5,0,0,"DCR5074 20C, animal 49.oir",20°C,control
662366,control 20C,0,0.129,0,0,0,3,0,4,0,0,0,0.129,0.129,0,4,4,3,0,0,0,0,3,0,4,4,0,0,"DCR5074 20C, animal 26.oir",20°C,control
692126,control 20C,0,3.02,0,0,0,10,8,2,0,1,0,1.51,1.51,4,1,5,5,0,0,0,0,5,4,1,5,0,0.5,"DCR5074 20C, animal 39.oir",20°C,control
842827,control 20C,0,1.47,0,0,0,6,4,2,0,0,0,1.47,1.47,4,2,6,6,0,0,0,0,6,4,2,6,0,0,"DCR5074 20C, animal 4.oir",20°C,control
258753,control 20C,0.04,3.82,1,1,0,9,3,6,0,0,0.02,1.91,1.93,2,3,5,5,0.5,0.5,0,0.5,4.5,1.5,3,4.5,0,0,"DCR5074 20C, animal 38.oir",20°C,control
708171,control 20C,0.05,7.28,1,1,0,21,21,0,0,0,0.025,3.64,3.665,11,0,11,11,0.5,0.5,0,0.5,10.5,10.5,0,10.5,0,0,"DCR5074 20C, animal 2.oir",20°C,control
770728,control 20C,0.1,3.23,1,1,0,12,11,1,0,0,0.05,1.615,1.665,6,0.5,6.5,6.5,0.5,0.5,0,0.5,6,5.5,0.5,6,0,0,"DCR5074 20C, animal 34.oir",20°C,control
